"S","PropError","TransRateError","propRareSample","DOS","TotalTransitions","minSampleSize","SampleSize","AverageDurationError","TruePropRare","AverageDuration","Ant","TaskNumber"
1,0.377979199315557,4.03298037568922e-05,0.790874524714829,0.44780816954986,345,552.05,525,12813.0894879414,0.555475047550041,38.2951084989572,1,8
1,0.221163657874659,0.000202810160627689,0.631178707224335,0.496694140023549,436,69.00625,525,50418.0750649195,0.567611629381397,40.56269367177,2,7
1,0.0129618631515767,0.000140300579135784,0.503802281368821,0.579227425052079,423,56.9123711340206,525,13239.8144107094,0.548863327597138,36.4858087501349,3,7
1,0.20259036661382,0.00072361954315179,0,0.446200525314736,554,160.014492753623,525,9096.64919749658,0.453944389095191,25.888764490278,4,8
1,0.826746142308861,2.04587751538036e-05,0.998098859315589,0.654707454034961,112,2208.2,525,309176.536603739,0.799927542795037,88.9685570909255,5,8
1,0.0138179112981127,1.22809411545154e-05,0.652091254752852,0.823419527216738,201,334.575757575758,525,531.388768245134,0.651209129607825,31.3558501631184,6,6
1,0.157129435954851,0.000131190607853567,0.35361216730038,0.665123177248438,417,1380.125,525,1877.50615140992,0.390816049270899,24.0353798961542,7,6
1,0.328181230228807,0.000116551033434339,0.998098859315589,0.556278869667603,266,408.925925925926,525,206419.341383065,0.637623403677203,46.833896440778,8,8
1,0.253835256997152,0.000313045790624152,0.311787072243346,0.500158500135857,497,581.105263157895,525,10812.5318985365,0.488633275971379,32.4706419782873,9,9
2,0.0166669265289151,7.25593213608658e-05,0.41254752851711,0.44780816954986,345,552.05,525,10697.1229776973,0.555475047550041,38.2951084989572,1,8
2,0.23436430493379,0.000135682019116003,0.731939163498099,0.496694140023549,436,69.00625,525,12319.4089896737,0.567611629381397,40.56269367177,2,7
2,0.0957552465768266,0.000134824048153799,0.357414448669202,0.579227425052079,423,56.9123711340206,525,9399.46870046857,0.548863327597138,36.4858087501349,3,7
2,0.228958724939799,0.000277273632863455,0.273764258555133,0.446200525314736,554,160.014492753623,525,4229.1749521346,0.453944389095191,25.888764490278,4,8
2,0.0594605517457227,0.000105948795528619,0.498098859315589,0.654707454034961,112,2208.2,525,119561.892674095,0.799927542795037,88.9685570909255,5,8
2,0.0100340608835505,1.37445607590743e-05,0.47148288973384,0.823419527216738,201,334.575757575758,525,1363.48776171764,0.651209129607825,31.3558501631184,6,6
2,0.0512208327206453,9.3753232137421e-05,0.378326996197719,0.665123177248438,417,1380.125,525,569.937085430298,0.390816049270899,24.0353798961542,7,6
