"S","PropError","TransRateError","propRareSample","DOS","TotalTransitions","InputGeometricProb","InitialState","minSampleSize","SampleSize","Simulation","DurationError","TrueDuration","TruePropRare","TaskNumber"
1,0.528459497461771,6.2795478669754e-05,0.998098859315589,0.662756996648854,233,0.123571389354765,6,50.8801843317972,525,1,98088.8907392758,53.09008268291,0.740965492256136,8
1,0.243070363068036,8.58874802968419e-05,0.836501901140684,0.542930893940766,288,0.0110041811130941,4,36.6810631229236,525,2,121036.397262397,40.9623106060606,0.605289375962322,8
1,0.049336834839574,0.000100156372976929,0.395437262357414,0.532050991757993,279,0.103831926360726,6,47.7965367965368,525,3,5743.79781828269,39.7987537092879,0.617969386830903,8
1,0.0496955816561043,8.56604066465212e-05,0.998098859315589,0.264480119554388,567,0.219087159261107,6,17.7508038585209,525,4,3116.5944066546,34.0593241741766,0.374966035685173,8
1,0.00203157372015866,0.000135870383633903,0,0.906564169912146,261,0.877276615705341,3,54.3891625615763,525,5,1540.47605318656,31.8289257044722,0.50348700298886,3
2,0.199225566920336,0.000425434123307934,0.321292775665399,0.662756996648854,233,0.123571389354765,6,50.8801843317972,525,1,53167.7027704584,53.09008268291,0.740965492256136,8
2,0.164472284241629,7.4000003093499e-05,0.88212927756654,0.542930893940766,288,0.0110041811130941,4,36.6810631229236,525,2,20170.2454442149,40.9623106060606,0.605289375962322,8
2,0.287679101057111,4.06756425546729e-05,0.480988593155894,0.532050991757993,279,0.103831926360726,6,47.7965367965368,525,3,17640.0697254974,39.7987537092879,0.617969386830903,8
2,0.0888707211441858,4.98837494609416e-05,0.173003802281369,0.264480119554388,567,0.219087159261107,6,17.7508038585209,525,4,14898.1199505524,34.0593241741766,0.374966035685173,8
2,0.00495208869006079,8.13211164825514e-05,0.290874524714829,0.906564169912146,261,0.877276615705341,3,54.3891625615763,525,5,2666.94353609173,31.8289257044722,0.50348700298886,3
4,0.143775087966695,5.38035082895129e-05,0.814393939393939,0.662756996648854,233,0.123571389354765,6,50.8801843317972,525,1,41914.2806634279,53.09008268291,0.740965492256136,8
4,0.13202498276928,7.77538043747588e-05,0.611742424242424,0.542930893940766,288,0.0110041811130941,4,36.6810631229236,525,2,20239.3002926997,40.9623106060606,0.605289375962322,8
4,0.044861150090691,6.13053864853647e-05,0.176136363636364,0.532050991757993,279,0.103831926360726,6,47.7965367965368,525,3,10273.4628463952,39.7987537092879,0.617969386830903,8
