"","time","bbb_behavior","gpw_behavior","gwb_behavior","wwr_behavior","ybr_behavior","ygr_behavior","ywr_behavior","yyr_behavior","yyw_behavior"
"1",1,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"2",2,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"3",3,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"4",4,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"5",5,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"6",6,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"7",7,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"8",8,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"9",9,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"10",10,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"11",11,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"12",12,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"13",13,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"14",14,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"15",15,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"16",16,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"17",17,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"18",18,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"19",19,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"20",20,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"21",21,"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"22",22,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"23",23,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"24",24,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"25",25,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"26",26,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"27",27,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"28",28,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"29",29,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"30",30,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"31",31,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"32",32,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"33",33,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"34",34,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"35",35,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"36",36,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"37",37,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"38",38,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"39",39,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"40",40,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"41",41,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"42",42,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"43",43,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"44",44,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"45",45,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"46",46,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"47",47,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"48",48,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"49",49,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"50",50,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"51",51,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"52",52,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"53",53,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"54",54,"Brood Care","Exploring","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"55",55,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"56",56,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"57",57,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"58",58,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"59",59,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"60",60,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"61",61,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"62",62,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"63",63,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"64",64,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"65",65,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"66",66,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"67",67,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"68",68,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"69",69,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"70",70,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"71",71,"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"72",72,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Antennating Nestmate","Trash Maintenance","Brood Care","Resting"
"73",73,"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"74",74,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"75",75,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"76",76,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"77",77,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"78",78,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"79",79,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"80",80,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"81",81,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"82",82,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"83",83,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"84",84,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"85",85,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"86",86,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"87",87,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"88",88,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"89",89,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"90",90,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"91",91,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"92",92,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"93",93,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"94",94,"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
