Analyst,Colony,Date,AntID,SegmentNumber,Time,Chamber,NestLocation,NestType,XCoord,YCoord,Task 
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:05,Foraging Arena,L,R,1002.289322,514.497114,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:06,Foraging Arena,L,R,1005.059885,514.497114,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:07,Foraging Arena,L,R,1005.059885,514.497114,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:08,Foraging Arena,L,R,1005.059885,514.497114,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:09,Foraging Arena,L,R,1005.059885,514.497114,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:10,Foraging Arena,L,R,1005.059885,514.497114,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:11,Foraging Arena,L,R,1004.136364,520.9617605,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:12,Foraging Arena,L,R,997.6717172,517.2676768,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:13,Foraging Arena,L,R,988.4365079,509.8795094,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:14,Foraging Arena,L,R,982.8953824,511.7265512,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:15,Foraging Arena,L,R,989.3600289,512.6500722,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:16,Foraging Arena,L,R,989.3600289,512.6500722,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:17,Foraging Arena,L,R,989.3600289,512.6500722,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:18,Foraging Arena,L,R,989.3600289,512.6500722,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:19,Foraging Arena,L,R,989.3600289,512.6500722,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:20,Foraging Arena,L,R,989.3600289,512.6500722,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:21,Foraging Arena,L,R,991.2070707,501.5678211,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:22,Foraging Arena,L,R,993.0541126,496.0266955,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:23,Foraging Arena,L,R,987.512987,497.8737374,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:24,Foraging Arena,L,R,998.5952381,492.3326118,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:25,Foraging Arena,L,R,995.8246753,487.7150072,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:26,Foraging Arena,L,R,979.2012987,494.1796537,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:27,Foraging Arena,L,R,973.6601732,492.3326118,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:28,Foraging Arena,L,R,976.4307359,484.0209235,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:29,Foraging Arena,L,R,975.507215,486.7914863,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:30,Foraging Arena,L,R,972.7366522,480.3268398,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:31,Foraging Arena,L,R,972.7366522,480.3268398,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:32,Foraging Arena,L,R,973.6601732,480.3268398,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:33,Foraging Arena,L,R,969.9660895,480.3268398,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:34,Foraging Arena,L,R,969.9660895,480.3268398,Exploring
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:35,Foraging Arena,L,R,969.9660895,481.2503608,Antennating Nestmate 
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:36,Foraging Arena,L,R,969.9660895,481.2503608,Antennating Nestmate 
,,,,,,,,,,,
Divya_Murala,17-12,04_22_2022,BPP,1,0:13:37,Foraging Arena,L,R,974.5836941,483.0974026,Antennating Nestmate 
,,,,,,,,,,,
