Analyst,Colony,Date,AntID,SegmentNumber,Time,Chamber,NestLocation,NestType,XCoord,YCoord,Task 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:06:58,Foraging Arena,R,R,464.8001443,253.1406926,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:06:59,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:00,Foraging Arena,R,R,467.5707071,255.9112554,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:01,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:02,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:03,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:04,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:05,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:06,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:07,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:08,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:09,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:10,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:11,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
Divya_Murala,17-22,04_09_2022,YRR,1,0:07:12,Foraging Arena,R,R,464.8001443,254.0642136,Resting 
,,,,,,,,,,,
