Analyst,Colony,Date,AntID,SegmentNumber,Time,Chamber,NestLocation,NestType,XCoord,YCoord,Task
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:07,Foraging Arena,R,R,558,100,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:08,Foraging Arena,R,R,536,98,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:09,Foraging Arena,R,R,512,72,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:10,Foraging Arena,R,R,516,86,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:11,Foraging Arena,R,R,542,60,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:12,Foraging Arena,R,R,536,72,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:13,Foraging Arena,R,R,548,48,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:14,Foraging Arena,R,R,562,48,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:15,Foraging Arena,R,R,580,32,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:16,Nest,R,R,970,92,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:17,Nest,R,R,984,224,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:18,Nest,R,R,842,282,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:19,Nest,R,R,798,328,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:20,Nest,R,R,790,354,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:21,Nest,R,R,784,412,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:22,Nest,R,R,786,442,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:23,Nest,R,R,786,476,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:24,Nest,R,R,790,490,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:25,Nest,R,R,798,482,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:26,Nest,R,R,808,506,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:27,Nest,R,R,820,522,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:28,Nest,R,R,822,532,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:29,Nest,R,R,828,506,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:30,Nest,R,R,860,530,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:31,Nest,R,R,898,510,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:32,Nest,R,R,954,512,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:33,Nest,R,R,982,462,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:34,Nest,R,R,966,532,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:35,Nest,R,R,982,586,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:36,Nest,R,R,976,598,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:37,Nest,R,R,934,606,Exploring
Divya_Murala,17-8,21_01_2022,PPP,1,0:13:38,Nest,R,R,880,590,Exploring
