Analyst,Colony,Date,AntID,SegmentNumber,Time,Chamber,NestLocation,NestType,XCoord,YCoord,Task
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:06:57,Nest,R,R,1198,378,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:06:58,Nest,R,R,1198,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:06:59,Nest,R,R,1196,378,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:00,Nest,R,R,1196,378,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:01,Nest,R,R,1194,378,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:02,Nest,R,R,1196,380,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:03,Nest,R,R,1198,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:04,Nest,R,R,1196,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:05,Nest,R,R,1196,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:06,Nest,R,R,1196,378,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:07,Nest,R,R,1196,378,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:08,Nest,R,R,1196,382,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:09,Nest,R,R,1198,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:10,Nest,R,R,1198,378,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:11,Nest,R,R,1196,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:12,Nest,R,R,1196,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:13,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:14,Nest,R,R,1196,370,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:15,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:16,Nest,R,R,1198,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:17,Nest,R,R,1200,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:18,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:19,Nest,R,R,1196,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:20,Nest,R,R,1196,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:21,Nest,R,R,1196,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:22,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:23,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:24,Nest,R,R,1198,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:25,Nest,R,R,1198,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:26,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:27,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:28,Nest,R,R,1194,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:29,Nest,R,R,1194,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:30,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:31,Nest,R,R,1198,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:32,Nest,R,R,1196,370,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:33,Nest,R,R,1194,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:34,Nest,R,R,1192,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:35,Nest,R,R,1194,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:36,Nest,R,R,1198,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:37,Nest,R,R,1200,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:38,Nest,R,R,1194,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:39,Nest,R,R,1196,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:40,Nest,R,R,1196,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:41,Nest,R,R,1194,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:42,Nest,R,R,1196,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:43,Nest,R,R,1198,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:44,Nest,R,R,1196,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:45,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:46,Nest,R,R,1196,372,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:47,Nest,R,R,1196,374,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:48,Nest,R,R,1196,376,Resting
Gailan_Khanania,17-17,09_03_2022,YYY,1,0:07:49,Nest,R,R,1196,378,Resting
