Analyst,Colony,Date,AntID,SegmentNumber,Time,Chamber,NestLocation,NestType,XCoord,YCoord,Task
Galian_Khanania,17-29,04_09_2022,RRR,1,0:06:58,Foraging Arena,R,R,601.1091371,194.4086294,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:06:59,Foraging Arena,R,R,570.2461929,174.9162437,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:00,Foraging Arena,R,R,479.2817259,239.8908629,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:01,Foraging Arena,R,R,461.4137056,332.4796954,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:02,Foraging Arena,R,R,409.4340102,452.6827411,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:03,Foraging Arena,R,R,381.819797,491.6675127,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:04,Foraging Arena,R,R,363.9517766,493.2918782,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:05,Foraging Arena,R,R,399.6878173,470.5507614,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:06,Foraging Arena,R,R,357.4543147,407.2005076,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:07,Foraging Arena,R,R,352.5812183,377.9619289,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:08,Foraging Arena,R,R,342.8350254,347.0989848,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:09,Foraging Arena,R,R,281.1091371,321.1091371,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:10,Foraging Arena,R,R,272.9873096,324.357868,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:11,Foraging Arena,R,R,274.6116751,327.606599,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:12,Foraging Arena,R,R,276.2360406,335.7284264,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:13,Foraging Arena,R,R,276.2360406,335.7284264,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:14,Foraging Arena,R,R,276.2360406,338.9771574,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:15,Foraging Arena,R,R,282.7335025,348.7233503,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:16,Foraging Arena,R,R,284.357868,353.5964467,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:17,Foraging Arena,R,R,284.357868,340.6015228,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:18,Foraging Arena,R,R,266.4898477,321.1091371,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:19,Foraging Arena,R,R,263.2411168,298.3680203,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:20,Foraging Arena,R,R,258.3680203,291.8705584,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:21,Foraging Arena,R,R,263.2411168,290.2461929,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:22,Foraging Arena,R,R,258.3680203,291.8705584,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:23,Foraging Arena,R,R,258.3680203,291.8705584,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:24,Foraging Arena,R,R,256.7436548,288.6218274,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:25,Foraging Arena,R,R,256.7436548,288.6218274,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:26,Foraging Arena,R,R,255.1192893,286.9974619,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:27,Foraging Arena,R,R,255.1192893,285.3730964,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:28,Foraging Arena,R,R,256.7436548,291.8705584,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:29,Foraging Arena,R,R,258.3680203,298.3680203,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:30,Foraging Arena,R,R,256.7436548,291.8705584,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:31,Foraging Arena,R,R,258.3680203,286.9974619,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:32,Foraging Arena,R,R,255.1192893,288.6218274,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:33,Foraging Arena,R,R,255.1192893,286.9974619,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:34,Foraging Arena,R,R,269.7385787,306.4898477,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:35,Foraging Arena,R,R,287.606599,314.6116751,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:36,Foraging Arena,R,R,290.8553299,312.9873096,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:37,Foraging Arena,R,R,303.8502538,296.7436548,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:38,Foraging Arena,R,R,316.8451777,278.8756345,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:39,Foraging Arena,R,R,315.2208122,274.0025381,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:40,Foraging Arena,R,R,303.8502538,274.0025381,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:41,Foraging Arena,R,R,305.4746193,274.0025381,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:42,Foraging Arena,R,R,307.0989848,275.6269036,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:43,Foraging Arena,R,R,308.7233503,275.6269036,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:44,Foraging Arena,R,R,303.8502538,277.251269,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:45,Foraging Arena,R,R,303.8502538,278.8756345,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:46,Foraging Arena,R,R,303.8502538,274.0025381,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:47,Foraging Arena,R,R,302.2258883,286.9974619,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:48,Foraging Arena,R,R,287.606599,295.1192893,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:49,Foraging Arena,R,R,266.4898477,285.3730964,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:50,Foraging Arena,R,R,268.1142132,285.3730964,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:51,Foraging Arena,R,R,271.3629442,285.3730964,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:52,Foraging Arena,R,R,271.3629442,285.3730964,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:53,Foraging Arena,R,R,259.9923858,285.3730964,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:54,Foraging Arena,R,R,261.6167513,290.2461929,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:55,Foraging Arena,R,R,264.8654822,291.8705584,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:56,Foraging Arena,R,R,263.2411168,295.1192893,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:57,Foraging Arena,R,R,263.2411168,296.7436548,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:58,Foraging Arena,R,R,264.8654822,290.2461929,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:07:59,Foraging Arena,R,R,263.2411168,291.8705584,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:00,Foraging Arena,R,R,253.4949239,282.1243655,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:01,Foraging Arena,R,R,253.4949239,282.1243655,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:02,Foraging Arena,R,R,255.1192893,282.1243655,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:03,Foraging Arena,R,R,255.1192893,282.1243655,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:04,Foraging Arena,R,R,255.1192893,278.8756345,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:05,Foraging Arena,R,R,253.4949239,278.8756345,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:06,Foraging Arena,R,R,253.4949239,278.8756345,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:07,Foraging Arena,R,R,246.9974619,283.748731,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:08,Foraging Arena,R,R,246.9974619,285.3730964,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:09,Foraging Arena,R,R,245.3730964,286.9974619,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:10,Foraging Arena,R,R,245.3730964,277.251269,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:11,Foraging Arena,R,R,242.1243655,264.2563452,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:12,Foraging Arena,R,R,245.3730964,248.0126904,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:13,Foraging Arena,R,R,243.748731,246.3883249,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:14,Foraging Arena,R,R,245.3730964,223.6472081,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:15,Foraging Arena,R,R,255.1192893,257.7588832,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:16,Foraging Arena,R,R,268.1142132,261.0076142,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:17,Foraging Arena,R,R,281.1091371,192.784264,Trash Mainentance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:18,Foraging Arena,R,R,264.8654822,176.5406091,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:19,Foraging Arena,R,R,264.8654822,181.4137056,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:20,Foraging Arena,R,R,263.2411168,184.6624365,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,1,0:08:21,Foraging Arena,R,R,261.6167513,184.6624365,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:32,Foraging Arena,R,R,337.9619289,98.57106599,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:33,Foraging Arena,R,R,352.5812183,103.4441624,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:34,Foraging Arena,R,R,347.7081218,101.819797,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:35,Foraging Arena,R,R,347.7081218,103.4441624,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:36,Foraging Arena,R,R,346.0837563,103.4441624,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:37,Foraging Arena,R,R,344.4593909,105.0685279,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:38,Foraging Arena,R,R,342.8350254,103.4441624,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:39,Foraging Arena,R,R,337.9619289,105.0685279,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:40,Foraging Arena,R,R,337.9619289,106.6928934,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:41,Foraging Arena,R,R,336.3375635,108.3172589,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:42,Foraging Arena,R,R,339.5862944,108.3172589,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:43,Foraging Arena,R,R,341.2106599,106.6928934,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:44,Foraging Arena,R,R,346.0837563,106.6928934,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:45,Foraging Arena,R,R,344.4593909,109.9416244,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:46,Foraging Arena,R,R,344.4593909,113.1903553,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:47,Foraging Arena,R,R,344.4593909,116.4390863,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:48,Foraging Arena,R,R,342.8350254,114.8147208,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:49,Foraging Arena,R,R,342.8350254,116.4390863,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:50,Foraging Arena,R,R,347.7081218,118.0634518,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:51,Foraging Arena,R,R,344.4593909,116.4390863,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:52,Foraging Arena,R,R,346.0837563,116.4390863,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:53,Foraging Arena,R,R,346.0837563,116.4390863,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:54,Foraging Arena,R,R,346.0837563,116.4390863,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:55,Foraging Arena,R,R,341.2106599,116.4390863,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:56,Foraging Arena,R,R,350.9568528,98.57106599,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:57,Foraging Arena,R,R,368.8248731,101.819797,Self Maintenance
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:58,Foraging Arena,R,R,367.2005076,103.4441624,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,2,0:09:59,Foraging Arena,R,R,368.8248731,105.0685279,Food processing
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:00,Foraging Arena,R,R,359.0786802,105.0685279,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:01,Foraging Arena,R,R,549.1294416,408.8248731,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:02,Foraging Arena,R,R,523.1395939,413.6979695,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:03,Foraging Arena,R,R,463.0380711,444.5609137,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:04,Foraging Arena,R,R,422.428934,478.6725888,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:05,Foraging Arena,R,R,363.9517766,470.5507614,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:06,Foraging Arena,R,R,347.7081218,399.0786802,Exploring
Galian_Khanania,17-29,04_09_2022,RRR,2,0:10:07,Foraging Arena,R,R,326.5913706,446.1852792,Exploring
