"","Colony","AntID","Date","Analyst","numUniqueTasks","degreeOfSpecialization","propResting","propBrood","propExploring","propAllogrooming","propAntennatingNestmate","propTrashMaintenance","propNestMaintenance","propSelfMaintenance","propFoodProcessing","numberOfTaskSwitches","numberOfAntennations","interboutInterval","boutLengthBC","boutLengthR","boutLengthFP","boutLengthTM","boutLengthAN","boutLengthNM","boutLengthSM","boutLengthE","boutLengthA","velocity","movementAreaForaging","movementAreaNest","colonySize","totalMass","sinuosityTrailNest","sinuosityTrailForaging","session","exploringLengthForaging","exploringLengthNest","probStop","probReturn","bcDistance","eDistance","fpDistance","rDistance","tmDistance","anDistance","nmDistance","smDistance","aDistance","bcSpeed","eSpeed","fpSpeed","rSpeed","tmSpeed","anSpeed","nmSpeed","smSpeed","aSpeed","bcTime","eTime","fpTime","rTime","tmTime","anTime","nmTime","smTime","aTime","bcjoulesPerMG","ejoulesPerMG","fpjoulesPerMG","rjoulesPerMG","tmjoulesPerMG","anjoulesPerMG","nmjoulesPerMG","smjoulesPerMG","ajoulesPerMG"
"1","17-1","BBB","06_11_2021","Colleen_Furey",4,0.747005988023952,0.368263473053892,0,0.517964071856287,0,0,0.0119760479041916,0,0,0.101796407185629,25,0,8.69791666666667,0,123,6.8,8,0,0,0,28.8333333333333,0,15.2171051886649,256552,NA,12,0.1012,NA,0.102204294032735,1,8745.8771781255,NA,0.0277777777777778,0.511111111111111,NA,0.846196803015525,0.237370597524801,0.00621623783049871,0.0135639448713862,NA,NA,NA,NA,NA,0.00244565550004487,0.00349074408124707,2.5269259473572e-05,0.00169549310892328,NA,NA,NA,NA,0,346,68,246,8,0,0,0,0,0,3.47168788815619,3.61587527607605,3.1377552664987,3.36819048359445,0,0,0,0
"2","17-5","RRR","02_07_2021","Colleen_Furey",2,0.875,0.6875,0.3125,0,0,0,0,0,0,0,9,0,2.5,47.5,83.6,0,0,0,0,0,0,0,0.391318084849403,NA,1713,20,0.3124,0.245433457190598,NA,1,NA,NA,1,0,0.0145611029531322,NA,NA,0.0124257100049601,NA,NA,NA,NA,NA,7.66373839638537e-05,NA,NA,2.97265789592347e-05,NA,NA,NA,NA,NA,190,0,0,418,0,0,0,0,0,3.14484235540755,0,0,3.13837022801041,0,0,0,0,0
"3","17-10","RRR","24_03_2022","Divya_Murala",6,0.577702702702703,0.018018018018018,0.274774774774775,0.264264264264264,0,0.024024024024024,0.145645645645646,0,0.273273273273273,0,21,3,9.17708333333333,91.5,12,0,32.3333333333333,5.33333333333333,0,36.4,25.1428571428571,0,10.8085743237463,225782.82182821,65891.3653978928,56,0.2808,0.613274231707928,0.347603457703824,1,1975.05096092565,1327.84370864619,0.0285714285714286,0.520952380952381,0.109080350768408,0.366169229928841,0,0.0209201923559973,0.118211752485191,0.0280157595465345,NA,0.136971408578582,NA,0.000596067490537747,0.00208050698823205,NA,0.00174334936299977,0.00121867786067207,0.00175098497165841,NA,0.000752590157025178,NA,183,176,0,12,97,16,0,182,0,3.21650639577786,3.42130956514308,NA,3.37479305144854,3.30240587317739,3.37584651092314,0,3.23810130633091,0
"4","17-12","BPP","04_22_2022","Divya_Murala",5,0.765130674002751,0.217331499312242,0,0.685006877579092,0,0.0275103163686382,0.0398899587345254,0,0,0.0302613480055021,18,4,14.90625,0,158,7.33333333333333,14.5,5,0,0,62.25,0,5.45275920642602,68882.4539292979,NA,55,0.199,NA,0.518562047349079,1,3348.28742938669,NA,0.0833333333333333,0.458333333333333,NA,0.362789964413965,0.0145792996933582,0.00800635461342773,0.0475165081833033,0.0120463946260159,NA,NA,NA,NA,0.000728493904445713,0.00066269544060719,5.06731304647324e-05,0.00163850028218287,0.000602319731300795,NA,NA,NA,0,498,22,158,29,20,0,0,0,0,3.23477682668336,3.22569883195577,3.14126015389978,3.36032737326516,3.21736899659513,0,0,0
"5","17-22","YRR","04_09_2022","Divya_Murala",4,0.745127436281859,0.698650674662669,0,0.103448275862069,0,0,0,0,0.0119940029985007,0.185907046476762,9,0,1,0,155.333333333333,41.3333333333333,0,0,0,8,34.5,0,3.76041903246172,95638.067753609,NA,66,0.3205,NA,0.690453237197296,1,496.471694994539,NA,0.277777777777778,0.111111111111111,NA,0.0570643562979416,0.0887834983349639,0.130550074822196,NA,NA,NA,0.00417499246093805,NA,NA,0.000827019656491907,0.000715995954314225,0.000280150375154928,NA,NA,NA,0.000521874057617256,NA,0,69,124,466,0,0,0,8,0,0,3.248370096274,3.23305252616355,3.17292036442554,0,0,0,3.20627017514926,0
"6","17-8","PPP","21_01_2022","Divya_Murala",5,0.726761619190405,0,0,0.75712143928036,0,0.0584707646176912,0.0224887556221889,0,0.107946026986507,0.0539730134932534,37,7,16.828125,0,0,9,7.5,5.57142857142857,0,9,31.5625,0,53.9455587794796,315382,187858,53,0.3221,0.156303951000747,0.158475147041424,1,12510.1985191982,14774.5715408716,NA,NA,NA,2.99476731206461,0.315536687458875,NA,0.0963442481067679,0.152337564278076,NA,0.326995170704125,NA,NA,0.00593023230111803,0.00876490798496875,NA,0.00642294987378452,0.00390609139174554,NA,0.00454159959311285,NA,0,505,36,0,15,39,0,72,0,0,3.95244333414425,4.34353408932619,0,4.02042193525314,3.67317936001449,0,3.76085830819647,0
"7","17-11","RRR","03_24_2022","Gailan_khanania",5,0.645427286356822,0.574212893553223,0.151424287856072,0.181409295352324,0,0.0779610194902549,0,0,0.0149925037481259,0,31,6,13.2604166666667,33.6666666666667,38.3,0,0,8.66666666666667,0,10,11,0,3.68334224326185,NA,23264.2150363657,48,0.2707,0.709907404004111,NA,1,NA,1007.12780760598,0.284090909090909,0.15530303030303,0.0151142658629523,0.0953999873274793,0,0.118083420777877,NA,0.0207497890141014,NA,0.0120215213086143,NA,0.000149646196662894,0.00078842964733454,NA,0.000308311803597589,NA,0.000399034404117334,NA,0.00120215213086143,NA,101,121,0,383,0,52,0,10,0,3.15491513793292,3.24304596134392,NA,3.17680570283635,0,3.18932239762139,0,3.30012587332118,0
"8","17-13","PPP","04_22_2022","Gailan_Khanania",7,0.69284107946027,0.373313343328336,0.00299850074962519,0.464767616191904,0,0.0329835082458771,0,0.0329835082458771,0.0839580209895052,0.00899550224887556,49,8,7.59747023809524,2,62.25,6,0,2.75,22,5.09090909090909,13.4782608695652,0,21.4594497985209,353633.102634212,128116.576374054,24,0.1294,0.463326475056886,0.285969448614767,1,7988.3216489722,3281.06162998298,0.0425724637681159,0.279397233201581,0,1.2387717290968,0.0256904048800151,0.0997556699012123,NA,0.0345157277798843,0.0186804180896051,0.0634961649063326,NA,0,0.00399603783579614,0.00428173414666919,0.000400625180326154,NA,0.00156889671726747,0.000849109913163867,0.00113386008761308,NA,2,310,6,249,0,22,22,56,0,3.134268951,3.68558897107867,3.72500553876879,3.18954187171233,0,3.35072440142567,3.25141781535284,3.29070384775435,0
"9","17-17","YYY","09_03_2022","Gailan_Khanania",6,0.61042600896861,0.339312406576981,0.12406576980568,0.412556053811659,0.031390134529148,0.062780269058296,0,0,0.0298953662182362,0,57,16,13.2673611111111,83,45.4,0,0,2.625,0,3.33333333333333,11.5,4.2,21.9060771293002,250622,201800,8,0.056,0.510826133714356,0.180136354003312,1,5946.8888432198,6197.03416178931,0.25,0.3375,0.0787861697405828,1.12883476062552,0,0.0764451987782706,NA,0.0846796751370873,NA,0.0157435378611275,0.0635003400633985,0.000949230960729914,0.00408998101675913,NA,0.000336762990212646,NA,0.00201618274135922,NA,0.000787176893056374,0.00302382571730469,83,276,0,227,0,42,0,20,21,3.2652311825487,3.6985499986122,NA,3.18073101821634,0,3.41243496321619,0,3.24287312301201,3.55145610579747
"10","17-29","RRR","04_09_2022","Galian_Khanania",7,0.513868065967017,0.0104947526236882,0,0.533733133433283,0,0.00449775112443778,0.0899550224887556,0.137931034482759,0.118440779610195,0.104947526236882,54,3,13.3645833333333,0,7,7,15,1,23,7.9,16.1818181818182,0,34.2156154811479,285172.991403139,100492.717096506,62,0.5442,0.166378763286769,0.214556723039907,1,12182.2662080207,4324.5434575895,0.00757575757575758,0.346212121212121,NA,1.62031958279693,0.145838309679904,0.0346106373734273,0.0688337239870059,0,0.345267383061412,0.145935865277297,NA,NA,0.00455145950223858,0.00208340442399863,0.00494437676763248,0.00114722873311677,0,0.00375290633762404,0.00184728943388984,NA,0,356,70,7,60,3,92,79,0,0,3.76221864699218,3.42170931469768,3.81642813237436,3.29254827521234,3.134268951,3.6520449287142,3.38913331656234,0
